Designator,Footprint,Quantity,Value,LCSC Part #
24VIN1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Conn_01x02,C8465
"AS5600, MOTOR1, SN65HVD230",PinSocket_1x04_P2.54mm_Horizontal,3,Conn_01x04_Socket,C22373928
C1,1210,1,2.2uF,C55151
C2,1210,1,0.1uF,C527381
"C3, C8",1210,2,22uF,C309062
C7,0603,1,75pF,C282074
CBOOT2,0805,1,100n,C49678
"J1, J2",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,C41417327
L1,L_10.4x10.4_H4.8,1,10uH,C9185
R10,0603,1,100k,C14675
R2,0603,1,511k,C861454
R5,0603,1,105k,C861072
R7,0603,1,2k,C22975
R8,0603,1,22.1k,C25961
R9,0603,1,49.9,C23185
SWITCH/SENSOR,PinSocket_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,C22373927
"TMC2208_IO1, TMC2208_PWR1",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08_Socket,C27438
U1,SOT-23-6,1,TPS54308,C168839
