Designator,Mid X,Mid Y,Rotation,Layer
24VIN1,67.1375,-76.708,270.0,top
AS5600,78.568,-123.15,0.0,top
C1,76.708,-77.421,270.0,top
C2,82.804,-77.421,270.0,top
C3,101.6,-82.755,90.0,top
C7,97.536,-77.737,270.0,top
C8,107.442,-82.804,90.0,top
CBOOT2,92.697,-81.534,180.0,top
J1,138.938,-114.046,180.0,top
J2,113.538,-114.046,0.0,top
L1,92.456,-90.424,270.0,top
MOTOR1,78.568,-106.894,0.0,top
R10,101.6,-78.041,270.0,top
R2,88.392,-77.025,270.0,top
R5,88.392,-81.026,270.0,top
R7,97.473,-73.914,180.0,top
R8,97.536,-81.851,270.0,top
R9,101.6,-74.231,90.0,top
SN65HVD230,130.13,-147.788,0.0,top
SWITCH/SENSOR,78.822,-91.201,0.0,top
TMC2208_IO1,98.298,-112.476749,180.0,top
TMC2208_PWR1,85.871523,-112.476749,180.0,top
U1,92.456,-77.3375,180.0,top
